Case_ID,Side,Curve1_RAS_S_Avg,Curve2_RAS_S_Avg,Curve1_RAS_R_Avg,Curve2_RAS_R_Avg,Superior Curve,RAS_S Diff,RAS_R Alignment Check
ct_146,L,1185.88,1166.23,22.87,-4.39,curve1,19.66,✅
ct_146,R,1186.07,1166.8,25.58,54.2,curve1,19.27,✅
ct_147,L,-155.91,-141.03,-32.39,-5.81,curve2,14.88,✅
ct_147,R,-143.4,-160.01,-5.27,28.54,curve1,16.61,✅
ct_148,L,-161.08,-152.47,-34.44,-5.42,curve2,8.61,✅
ct_148,R,-150.18,-170.54,-6.15,26.54,curve1,20.36,✅
ct_149,L,-146.83,-143.67,-30.66,-6.52,curve2,3.16,✅
ct_149,R,-147.73,-142.69,26.56,1.42,curve2,5.04,✅
ct_150,L,-360.63,-342.35,-29.49,-5.09,curve2,18.28,✅
ct_150,R,-361.82,-342.3,18.92,-3.33,curve2,19.52,✅
ct_151,L,-415.44,-396.36,-17.47,9.09,curve2,19.08,✅
ct_151,R,-419.46,-409.28,35.04,9.5,curve2,10.18,✅
ct_152,L,-93.34,-83.03,-41.29,-20.67,curve2,10.32,✅
ct_152,R,-85.11,-100.47,-20.46,13.63,curve1,15.36,✅
ct_153,L,-367.56,-384.54,-3.1,-24.17,curve1,16.97,✅
ct_153,R,-367.97,-385.46,0.32,32.74,curve1,17.49,✅
ct_154,L,-352.32,-334.97,-22.81,1.53,curve2,17.35,✅
ct_154,R,-346.15,-335.43,35.1,3.65,curve2,10.72,✅
ct_155,L,-341.28,-324.59,-30.78,-1.35,curve2,16.69,✅
ct_155,R,-323.92,-348.42,-1.33,28.01,curve1,24.5,✅
ct_156,L,-35.64,-55.5,-7.78,-28.25,curve1,19.85,✅
ct_156,R,-51.29,-34.28,25.65,-5.66,curve2,17.01,✅
ct_157,L,-5.44,12.89,-26.46,-2.85,curve2,18.34,✅
ct_157,R,10.0,-5.44,-2.11,27.0,curve1,15.44,✅
ct_158,L,1329.72,1317.91,-7.12,-32.82,curve1,11.81,✅
ct_158,R,1314.1,1330.61,34.13,-3.97,curve2,16.5,✅
ct_159,L,-102.66,-85.71,-34.76,-7.59,curve2,16.94,✅
ct_160,L,-159.51,-146.12,-27.14,2.34,curve2,13.4,✅
ct_160,R,-143.99,-160.46,4.33,31.33,curve1,16.47,✅
ct_161,L,-96.11,-81.47,-14.11,12.48,curve2,14.64,✅
ct_161,R,-80.41,-104.98,16.45,45.83,curve1,24.57,✅
ct_162,L,1272.27,1276.82,-23.15,-7.95,curve2,4.55,✅
ct_162,R,1274.63,1288.74,29.27,0.33,curve2,14.12,✅
ct_163,L,1285.82,1307.23,-16.2,9.72,curve2,21.41,✅
ct_163,R,1308.99,1287.38,10.42,41.97,curve1,21.61,✅
ct_164,L,373.01,395.05,-24.67,1.56,curve2,22.03,✅
ct_164,R,389.4,383.23,2.08,26.4,curve1,6.17,✅
ct_165,L,-228.98,-209.49,-27.97,-5.1,curve2,19.49,✅
ct_165,R,-209.05,-221.03,-4.4,32.83,curve1,11.98,✅
mr_001,L,-39.61,-29.63,-36.81,-1.22,curve2,9.98,✅
mr_001,R,-55.23,-29.77,27.57,0.18,curve2,25.46,✅
mr_002,L,7.9,-0.53,4.41,-24.15,curve1,8.43,✅
mr_002,R,8.17,-10.02,4.47,32.0,curve1,18.2,✅
mr_003,R,9.99,35.06,28.04,-3.55,curve2,25.07,✅
mr_004,L,21.91,-3.22,-9.51,-35.69,curve1,25.14,✅
mr_005,L,34.61,43.87,-20.8,2.95,curve2,9.27,✅
mr_005,R,43.99,28.17,3.79,29.62,curve1,15.81,✅
mr_006,L,13.03,16.15,-24.02,2.65,curve2,3.13,✅
mr_006,R,9.66,35.92,31.77,5.58,curve2,26.26,✅
mr_007,L,-45.7,-19.8,-25.87,-0.26,curve2,25.9,✅
mr_007,R,-43.3,-19.35,31.98,2.63,curve2,23.95,✅
mr_008,L,0.29,14.07,-39.06,-5.89,curve2,13.78,✅
mr_008,R,14.44,-4.08,-4.45,26.86,curve1,18.52,✅
mr_009,L,1.71,27.11,-25.73,7.47,curve2,25.4,✅
mr_009,R,2.92,27.32,34.53,13.64,curve2,24.4,✅
mr_010,L,37.19,19.98,-3.4,-25.63,curve1,17.21,✅
mr_011,L,39.31,51.42,-15.34,11.12,curve2,12.11,✅
mr_011,R,34.26,52.48,38.11,12.75,curve2,18.23,✅
mr_012,L,-24.0,0.54,-21.8,12.89,curve2,24.54,✅
mr_012,R,-28.73,0.45,44.25,15.79,curve2,29.19,✅
mr_013,L,-31.91,-10.36,-37.64,-9.2,curve2,21.55,✅
mr_013,R,-33.59,-10.42,20.06,-7.86,curve2,23.18,✅
mr_014,L,-37.63,-16.38,-36.34,-6.81,curve2,21.25,✅
mr_015,L,-25.49,-0.22,-39.22,-13.64,curve2,25.28,✅
mr_016,L,30.95,53.26,-39.23,-22.9,curve2,22.31,✅
mr_016,R,31.47,52.76,10.94,-20.55,curve2,21.28,✅
mr_017,L,15.11,-13.7,-6.38,-33.01,curve1,28.82,✅
mr_017,R,-15.8,14.91,22.6,-3.95,curve2,30.72,✅
mr_018,L,31.24,17.11,-5.8,-31.72,curve1,14.13,✅
